Attrition;Business Travel;CF_age band;CF_attrition label;Department;Education Field;emp no;Employee Number;Gender;Job Role;Marital Status;Over Time;Over18;Training Times Last Year;Age;CF_current Employee;Daily Rate;Distance From Home;Education;Employee Count;Environment Satisfaction;Hourly Rate;Job Involvement;Job Level;Job Satisfaction;Monthly Income;Monthly Rate;Num Companies Worked;Percent Salary Hike;Performance Rating;Relationship Satisfaction;Standard Hours;Stock Option Level;Total Working Years;Work Life Balance;Years At Company;Years In Current Role;Years Since Last Promotion;Years With Curr Manager
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-1203;1203;Male;Manufacturing Director;Married;No;Y;3;39;1;1387;10;Doctoral Degree;1;2;76;3;2;1;5377;3835;2;13;3;4;80;3;10;3;7;7;7;7
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-1204;1204;Male;Laboratory Technician;Married;No;Y;6;33;1;267;21;Bachelor's Degree;1;2;79;4;1;2;2028;13637;1;18;3;4;80;3;14;3;14;11;2;13
No;Travel_Rarely;Over 55;Current Employees;R&D;Medical;STAFF-1205;1205;Male;Research Director;Married;No;Y;2;55;1;478;2;Bachelor's Degree;1;3;60;2;5;1;19038;19805;8;12;3;2;80;3;34;3;1;0;0;0
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1206;1206;Male;Manufacturing Director;Married;No;Y;2;37;1;671;19;Bachelor's Degree;1;3;85;3;2;3;5768;26493;3;17;3;1;80;3;9;2;4;3;0;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-1207;1207;Male;Laboratory Technician;Married;No;Y;3;26;1;390;17;Master's Degree;1;4;62;1;1;3;2305;6217;1;15;3;3;80;3;3;4;3;2;0;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1208;1208;Male;Laboratory Technician;Single;No;Y;2;36;1;172;4;Master's Degree;1;1;37;2;2;4;5810;22604;1;16;3;3;80;0;10;2;10;4;1;8
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1209;1209;Male;Laboratory Technician;Single;No;Y;4;36;1;311;7;Bachelor's Degree;1;1;77;3;1;2;2013;10950;2;11;3;3;80;0;15;3;4;3;1;3
No;Travel_Rarely;Under 25;Current Employees;R&D;Life Sciences;STAFF-1210;1210;Male;Laboratory Technician;Single;No;Y;2;23;1;507;20;High School;1;1;97;3;2;3;2272;24812;0;14;3;2;80;0;5;3;4;3;1;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-1211;1211;Male;Research Scientist;Single;No;Y;4;34;1;479;7;Master's Degree;1;1;35;3;1;4;2972;22061;1;13;3;3;80;0;1;1;1;0;0;0
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1212;1212;Male;Research Scientist;Single;No;Y;2;39;1;116;24;High School;1;1;52;3;2;4;4108;5340;7;13;3;1;80;0;18;3;7;7;1;7
No;Travel_Rarely;Under 25;Current Employees;R&D;Life Sciences;STAFF-1213;1213;Male;Healthcare Representative;Single;No;Y;2;24;1;771;1;Associates Degree;1;2;45;2;2;3;4617;14120;1;12;3;2;80;0;4;2;4;3;1;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-1214;1214;Male;Research Scientist;Single;No;Y;5;35;1;1395;9;Master's Degree;1;2;48;3;2;3;5098;18698;1;19;3;2;80;0;10;3;10;7;0;8
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1215;1215;Male;Healthcare Representative;Single;No;Y;3;41;1;447;5;Bachelor's Degree;1;2;85;4;2;2;6870;15530;3;12;3;1;80;0;11;1;3;2;1;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1216;1216;Male;Research Scientist;Single;No;Y;2;40;1;1322;2;Master's Degree;1;3;52;2;1;3;2809;2725;2;14;3;4;80;0;8;3;2;2;2;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-1217;1217;Male;Laboratory Technician;Single;No;Y;6;26;1;157;1;Bachelor's Degree;1;3;95;3;1;1;2867;20006;0;13;3;4;80;0;8;2;7;7;7;6
No;Travel_Rarely;45 - 54;Current Employees;R&D;Life Sciences;STAFF-1218;1218;Male;Healthcare Representative;Single;No;Y;3;46;1;717;13;Master's Degree;1;3;34;3;2;2;5562;9697;6;14;3;4;80;0;19;3;10;7;0;9
No;Travel_Rarely;45 - 54;Current Employees;R&D;Life Sciences;STAFF-1219;1219;Male;Manager;Single;No;Y;2;49;1;809;1;Bachelor's Degree;1;3;36;3;4;3;15379;22384;4;14;3;1;80;0;23;3;8;7;0;0
No;Travel_Rarely;Under 25;Current Employees;R&D;Medical;STAFF-1220;1220;Male;Research Scientist;Single;No;Y;2;21;1;546;5;High School;1;3;97;3;1;4;3117;26009;1;18;3;3;80;0;3;3;2;2;2;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Other;STAFF-1221;1221;Male;Laboratory Technician;Single;No;Y;2;26;1;652;7;Bachelor's Degree;1;3;100;4;1;1;3578;23577;0;12;3;4;80;0;8;3;7;7;0;7
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-1222;1222;Male;Laboratory Technician;Single;No;Y;3;35;1;992;1;Bachelor's Degree;1;4;68;2;1;1;2450;21731;1;19;3;2;80;0;3;3;3;0;1;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Life Sciences;STAFF-1223;1223;Male;Manufacturing Director;Single;No;Y;2;33;1;575;25;Bachelor's Degree;1;4;44;2;2;2;4320;24152;1;13;3;4;80;0;5;3;5;3;0;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Life Sciences;STAFF-1224;1224;Male;Laboratory Technician;Single;No;Y;2;29;1;592;7;Bachelor's Degree;1;4;59;3;1;1;2062;19384;3;14;3;2;80;0;11;3;3;2;1;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Technical Degree;STAFF-1225;1225;Male;Research Scientist;Single;No;Y;4;32;1;529;2;Bachelor's Degree;1;4;78;3;1;1;2439;11288;1;14;3;4;80;0;4;3;4;2;1;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1226;1226;Male;Research Scientist;Single;No;Y;3;44;1;1467;20;Bachelor's Degree;1;4;49;3;1;2;3420;21158;1;13;3;3;80;0;6;2;5;2;1;3
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1227;1227;Male;Laboratory Technician;Single;No;Y;3;42;1;1142;8;Bachelor's Degree;1;4;81;3;1;3;3968;13624;4;13;3;4;80;0;8;3;0;0;0;0
No;Travel_Rarely;Under 25;Current Employees;R&D;Life Sciences;STAFF-1228;1228;Male;Research Scientist;Single;No;Y;2;22;1;581;1;Associates Degree;1;4;63;3;1;3;3375;17624;0;12;3;4;80;0;4;4;3;2;1;2
No;Travel_Rarely;Under 25;Current Employees;R&D;Other;STAFF-1229;1229;Male;Laboratory Technician;Single;No;Y;6;23;1;571;12;Associates Degree;1;4;78;3;1;4;2647;13672;1;13;3;3;80;0;5;4;5;2;1;4
No;Travel_Rarely;45 - 54;Current Employees;R&D;Medical;STAFF-1230;1230;Male;Research Director;Single;No;Y;2;53;1;447;2;Bachelor's Degree;1;4;39;4;4;2;16598;19764;4;12;3;2;80;0;35;2;9;8;8;8
No;Travel_Rarely;25 - 34;Current Employees;Sales;Life Sciences;STAFF-1231;1231;Male;Sales Executive;Divorced;No;Y;5;31;1;326;8;Associates Degree;1;1;31;3;3;4;10793;8386;1;18;3;1;80;1;13;3;13;7;9;9
No;Travel_Rarely;25 - 34;Current Employees;Sales;Marketing;STAFF-1232;1232;Male;Sales Executive;Divorced;No;Y;2;30;1;979;15;Associates Degree;1;3;94;2;3;1;7140;3088;2;11;3;1;80;1;12;3;7;7;1;7
No;Travel_Rarely;35 - 44;Current Employees;Sales;Life Sciences;STAFF-1233;1233;Male;Sales Executive;Divorced;No;Y;5;41;1;930;3;Bachelor's Degree;1;3;57;2;2;2;8938;12227;2;11;3;3;80;1;14;3;5;4;0;4
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-1234;1234;Male;Sales Executive;Divorced;No;Y;2;34;1;1239;13;Master's Degree;1;4;39;3;3;3;8628;22914;1;18;3;3;80;1;9;2;8;7;1;1
No;Travel_Rarely;25 - 34;Current Employees;Sales;Life Sciences;STAFF-1235;1235;Male;Sales Executive;Divorced;No;Y;3;29;1;1246;19;Bachelor's Degree;1;3;77;2;2;3;8620;23757;1;14;3;3;80;2;10;3;10;7;0;4
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-1236;1236;Male;Sales Executive;Divorced;No;Y;5;33;1;392;2;Master's Degree;1;4;93;3;2;4;5505;3921;1;14;3;3;80;2;6;3;6;2;0;4
No;Travel_Rarely;45 - 54;Current Employees;Sales;Marketing;STAFF-1237;1237;Male;Sales Executive;Divorced;No;Y;3;48;1;1221;7;Bachelor's Degree;1;3;96;3;2;1;5486;24795;4;11;3;1;80;3;15;3;2;2;2;2
No;Travel_Rarely;35 - 44;Current Employees;Sales;Medical;STAFF-1238;1238;Male;Sales Executive;Married;No;Y;5;40;1;1342;9;Associates Degree;1;1;47;3;2;1;5473;19345;0;12;3;4;80;0;9;4;8;4;7;1
No;Travel_Rarely;25 - 34;Current Employees;Sales;Life Sciences;STAFF-1239;1239;Male;Sales Executive;Married;No;Y;6;33;1;1242;8;Master's Degree;1;1;46;3;2;1;6392;10589;2;13;3;4;80;1;8;1;2;2;2;2
No;Travel_Rarely;25 - 34;Current Employees;Sales;Life Sciences;STAFF-1240;1240;Male;Sales Representative;Married;No;Y;1;31;1;1154;2;Associates Degree;1;1;54;3;1;3;3067;6393;0;19;3;3;80;1;3;3;2;2;1;2
No;Travel_Rarely;25 - 34;Current Employees;Sales;Technical Degree;STAFF-1241;1241;Male;Sales Executive;Married;No;Y;3;31;1;1003;5;Bachelor's Degree;1;1;51;3;2;3;8346;20943;1;19;3;3;80;1;6;3;5;2;0;2
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-1242;1242;Male;Sales Representative;Married;No;Y;2;32;1;234;1;Master's Degree;1;2;68;2;1;2;2269;18024;0;14;3;2;80;1;3;3;2;2;2;2
No;Travel_Rarely;35 - 44;Current Employees;Sales;Medical;STAFF-1243;1243;Male;Sales Executive;Married;No;Y;2;35;1;682;18;Master's Degree;1;2;71;3;2;1;5561;15975;0;16;3;4;80;1;6;1;5;3;0;4
No;Travel_Rarely;25 - 34;Current Employees;Sales;Technical Degree;STAFF-1244;1244;Male;Sales Executive;Married;No;Y;3;30;1;1288;29;Master's Degree;1;3;33;3;3;2;9250;17799;3;12;3;2;80;1;9;3;4;2;1;3
No;Travel_Rarely;35 - 44;Current Employees;Sales;Life Sciences;STAFF-1245;1245;Male;Sales Executive;Married;No;Y;3;38;1;1245;14;Bachelor's Degree;1;3;80;3;2;2;9924;12355;0;11;3;4;80;1;10;3;9;8;7;7
No;Travel_Rarely;25 - 34;Current Employees;Sales;Life Sciences;STAFF-1246;1246;Male;Sales Executive;Married;No;Y;2;32;1;371;19;Bachelor's Degree;1;4;80;1;3;3;9610;3840;3;13;3;3;80;1;10;1;4;3;0;2
No;Travel_Rarely;35 - 44;Current Employees;Sales;Life Sciences;STAFF-1247;1247;Male;Sales Representative;Married;No;Y;3;35;1;660;7;High School;1;4;76;3;1;3;2404;16192;1;13;3;1;80;1;1;3;1;0;0;0
No;Travel_Rarely;25 - 34;Current Employees;Sales;Marketing;STAFF-1248;1248;Male;Sales Executive;Married;No;Y;3;32;1;601;7;Doctoral Degree;1;4;97;3;2;4;9204;23343;4;12;3;3;80;1;7;2;4;3;0;3
No;Travel_Rarely;35 - 44;Current Employees;Sales;Medical;STAFF-1249;1249;Male;Sales Executive;Married;No;Y;3;39;1;1462;6;Bachelor's Degree;1;4;38;4;3;3;8237;4658;2;11;3;1;80;1;11;3;7;6;7;6
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-1250;1250;Male;Sales Executive;Married;No;Y;2;37;1;589;9;Associates Degree;1;2;46;2;2;2;4189;8800;1;14;3;1;80;2;5;3;5;2;0;3
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-1251;1251;Male;Sales Executive;Married;No;Y;1;36;1;335;17;Associates Degree;1;3;33;2;2;2;5507;16822;2;16;3;3;80;2;12;1;4;2;1;3
No;Travel_Rarely;35 - 44;Current Employees;Sales;Life Sciences;STAFF-1252;1252;Male;Sales Executive;Married;No;Y;3;38;1;1321;1;Master's Degree;1;4;86;3;2;2;4440;7636;0;15;3;1;80;2;16;3;15;13;5;8
No;Travel_Rarely;25 - 34;Current Employees;Sales;Life Sciences;STAFF-1253;1253;Male;Sales Executive;Married;No;Y;2;30;1;1358;16;High School;1;4;96;3;2;3;5301;2939;8;15;3;3;80;2;4;2;2;1;2;2
No;Travel_Rarely;35 - 44;Current Employees;Sales;Life Sciences;STAFF-1254;1254;Male;Sales Representative;Single;No;Y;3;38;1;1404;1;Bachelor's Degree;1;1;59;2;1;1;2858;11473;4;14;3;1;80;0;20;2;1;0;0;0
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-1255;1255;Male;Sales Executive;Single;No;Y;3;39;1;119;15;Master's Degree;1;2;77;3;4;1;13341;25098;0;12;3;1;80;0;21;3;20;8;11;10
No;Travel_Rarely;35 - 44;Current Employees;Sales;Medical;STAFF-1256;1256;Male;Manager;Single;No;Y;3;40;1;611;7;Master's Degree;1;2;88;3;5;2;19833;4349;1;14;3;2;80;0;21;2;21;8;12;8
No;Travel_Rarely;25 - 34;Current Employees;Sales;Marketing;STAFF-1257;1257;Male;Sales Executive;Single;No;Y;2;33;1;217;10;Master's Degree;1;2;43;3;2;3;5487;10410;1;14;3;2;80;0;10;2;10;4;0;9
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-1258;1258;Male;Sales Executive;Single;No;Y;2;29;1;469;10;Bachelor's Degree;1;3;42;2;2;3;5869;23413;9;11;3;3;80;0;8;3;5;2;1;4
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-1259;1259;Male;Sales Executive;Single;No;Y;4;26;1;572;10;Bachelor's Degree;1;3;46;3;2;4;4684;9125;1;13;3;1;80;0;5;3;5;3;1;2
No;Travel_Rarely;25 - 34;Current Employees;Sales;Other;STAFF-1260;1260;Male;Sales Executive;Single;No;Y;2;34;1;1326;3;Bachelor's Degree;1;4;81;1;2;1;4759;15891;3;18;3;4;80;0;15;3;13;9;3;12
No;Travel_Rarely;Under 25;Current Employees;Sales;Life Sciences;STAFF-1261;1261;Male;Sales Representative;Single;No;Y;3;20;1;727;9;High School;1;4;54;3;1;1;2728;21082;1;11;3;1;80;0;2;3;2;2;0;2
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-1262;1262;Male;Sales Executive;Single;No;Y;4;28;1;866;5;Bachelor's Degree;1;4;84;3;2;1;8463;23490;0;18;3;4;80;0;6;3;5;4;1;3
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-1263;1263;Male;Sales Executive;Single;No;Y;3;41;1;918;6;Bachelor's Degree;1;4;35;3;3;3;9241;15869;1;12;3;2;80;0;10;3;10;8;8;7
No;Travel_Rarely;25 - 34;Current Employees;Sales;Marketing;STAFF-1264;1264;Male;Sales Executive;Single;No;Y;5;27;1;954;9;Bachelor's Degree;1;4;44;3;2;4;4105;5099;1;14;3;1;80;0;7;3;7;7;0;7
No;Travel_Rarely;45 - 54;Current Employees;Sales;Life Sciences;STAFF-1265;1265;Male;Manager;Single;No;Y;5;46;1;563;1;Master's Degree;1;4;56;4;4;1;17567;3156;1;15;3;2;80;0;27;1;26;0;0;12
No;Non-Travel;Under 25;Current Employees;R&D;Other;STAFF-1266;1266;Female;Research Scientist;Married;Yes;Y;2;22;1;457;26;Associates Degree;1;2;85;2;1;3;2814;10293;1;14;3;2;80;0;4;2;4;2;1;3
No;Travel_Frequently;35 - 44;Current Employees;R&D;Medical;STAFF-1267;1267;Female;Research Scientist;Divorced;Yes;Y;3;38;1;1394;8;Bachelor's Degree;1;4;58;2;2;2;2133;18115;1;16;3;3;80;1;20;3;20;11;0;7
No;Travel_Frequently;Under 25;Current Employees;R&D;Technical Degree;STAFF-1268;1268;Female;Research Scientist;Single;Yes;Y;2;24;1;567;2;High School;1;1;32;3;1;4;3760;17218;1;13;3;3;80;0;6;3;6;3;1;3
No;Travel_Frequently;25 - 34;Current Employees;R&D;Life Sciences;STAFF-1269;1269;Female;Laboratory Technician;Single;Yes;Y;3;27;1;1297;5;Associates Degree;1;4;53;3;1;4;2379;19826;0;14;3;3;80;0;6;2;5;4;0;2
No;Travel_Rarely;35 - 44;Current Employees;HR;Life Sciences;STAFF-1270;1270;Female;Human Resources;Divorced;Yes;Y;2;44;1;528;1;Bachelor's Degree;1;3;44;3;1;4;3195;4167;4;18;3;1;80;3;8;3;2;2;2;2
No;Travel_Rarely;35 - 44;Current Employees;HR;Life Sciences;STAFF-1271;1271;Female;Human Resources;Single;Yes;Y;2;35;1;1146;26;Master's Degree;1;3;31;3;3;4;8837;16642;1;16;3;3;80;0;9;3;9;0;1;7
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-1272;1272;Female;Research Director;Divorced;Yes;Y;4;44;1;1313;7;Bachelor's Degree;1;2;31;3;5;4;19049;3549;0;14;3;4;80;1;23;2;22;7;1;10
No;Travel_Rarely;45 - 54;Current Employees;R&D;Life Sciences;STAFF-1273;1273;Female;Manufacturing Director;Divorced;Yes;Y;4;47;1;1001;4;Bachelor's Degree;1;3;92;2;3;2;10333;19271;8;12;3;3;80;1;28;3;22;11;14;10
No;Travel_Rarely;45 - 54;Current Employees;R&D;Medical;STAFF-1274;1274;Female;Laboratory Technician;Divorced;Yes;Y;2;49;1;464;16;Bachelor's Degree;1;4;74;3;1;1;2587;24941;4;16;3;2;80;1;17;2;2;2;2;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-1275;1275;Female;Laboratory Technician;Divorced;Yes;Y;4;31;1;1276;2;High School;1;4;59;1;1;4;1129;17536;1;11;3;3;80;3;1;3;1;0;0;0
No;Travel_Rarely;35 - 44;Current Employees;R&D;Other;STAFF-1276;1276;Female;Manufacturing Director;Married;Yes;Y;2;35;1;219;16;Associates Degree;1;4;44;2;2;2;4788;25388;0;11;3;4;80;0;4;3;3;2;0;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Life Sciences;STAFF-1277;1277;Female;Research Scientist;Married;Yes;Y;3;26;1;482;1;Associates Degree;1;2;90;2;1;3;2933;14908;1;13;3;3;80;1;1;2;1;0;1;0
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1278;1278;Female;Manufacturing Director;Married;Yes;Y;3;40;1;369;8;Associates Degree;1;2;92;3;2;1;6516;5041;2;16;3;2;80;1;18;3;1;0;0;0
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-1279;1279;Female;Healthcare Representative;Married;Yes;Y;6;33;1;501;15;Associates Degree;1;2;95;3;2;4;4878;21653;0;13;3;1;80;1;10;3;9;7;8;1
No;Travel_Rarely;45 - 54;Current Employees;R&D;Life Sciences;STAFF-1280;1280;Female;Healthcare Representative;Married;Yes;Y;3;49;1;465;6;High School;1;3;41;2;4;3;13966;11652;2;19;3;2;80;1;30;3;15;11;2;12
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1281;1281;Female;Healthcare Representative;Married;Yes;Y;2;44;1;921;2;Bachelor's Degree;1;3;96;4;3;4;7879;14810;1;19;3;2;80;1;9;3;8;7;6;7
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-1282;1282;Female;Manufacturing Director;Married;Yes;Y;6;38;1;397;2;Associates Degree;1;4;54;2;3;3;7756;14199;3;19;3;4;80;1;10;4;5;4;0;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1283;1283;Female;Manufacturing Director;Married;Yes;Y;2;36;1;559;12;Master's Degree;1;3;76;3;2;3;4663;12421;9;12;3;2;80;2;7;3;3;2;1;1
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-1284;1284;Female;Healthcare Representative;Single;Yes;Y;4;35;1;670;10;Master's Degree;1;1;51;3;2;3;6142;4223;3;16;3;3;80;0;10;3;5;2;0;4
No;Travel_Rarely;45 - 54;Current Employees;R&D;Medical;STAFF-1285;1285;Female;Laboratory Technician;Single;Yes;Y;3;45;1;1015;5;Doctoral Degree;1;3;50;1;2;1;5769;23447;1;14;3;1;80;0;10;3;10;7;1;4
No;Travel_Rarely;45 - 54;Current Employees;R&D;Medical;STAFF-1286;1286;Female;Manufacturing Director;Single;Yes;Y;3;54;1;157;10;Bachelor's Degree;1;3;77;3;2;1;4440;25198;6;19;3;4;80;0;9;3;5;2;1;4
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1287;1287;Female;Manufacturing Director;Single;Yes;Y;2;40;1;448;16;Bachelor's Degree;1;3;84;3;3;4;7945;19948;6;15;3;4;80;0;18;2;4;2;3;3
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-1288;1288;Female;Sales Executive;Divorced;Yes;Y;3;41;1;796;4;High School;1;3;81;3;3;3;10447;26458;0;13;3;4;80;1;23;4;22;14;13;5
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-1289;1289;Female;Sales Executive;Divorced;Yes;Y;2;31;1;1079;10;Associates Degree;1;3;86;3;2;4;6583;20115;2;11;3;4;80;1;8;3;5;2;1;4
No;Travel_Rarely;35 - 44;Current Employees;Sales;Life Sciences;STAFF-1290;1290;Female;Sales Executive;Married;Yes;Y;2;35;1;1224;7;Master's Degree;1;3;55;3;2;4;5204;13586;1;11;3;4;80;0;10;3;10;8;0;9
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-1291;1291;Female;Sales Executive;Married;Yes;Y;3;34;1;735;3;High School;1;4;75;2;2;4;8103;16495;3;12;3;3;80;0;9;2;4;2;0;1
No;Travel_Rarely;35 - 44;Current Employees;Sales;Technical Degree;STAFF-1292;1292;Female;Sales Executive;Married;Yes;Y;4;36;1;1266;10;Master's Degree;1;2;63;2;2;3;5673;6060;1;13;3;1;80;1;10;3;10;9;1;7
No;Travel_Rarely;45 - 54;Current Employees;Sales;Medical;STAFF-1293;1293;Female;Sales Executive;Married;Yes;Y;4;47;1;571;14;Bachelor's Degree;1;3;78;3;2;3;4591;24200;3;17;3;3;80;1;11;2;5;4;1;2
No;Travel_Rarely;Over 55;Current Employees;Sales;Life Sciences;STAFF-1294;1294;Female;Manager;Married;Yes;Y;2;58;1;605;21;Bachelor's Degree;1;4;72;3;4;4;17875;11761;4;13;3;3;80;1;29;2;1;0;0;0
No;Travel_Rarely;Under 25;Current Employees;Sales;Medical;STAFF-1295;1295;Female;Sales Executive;Married;Yes;Y;3;24;1;1476;4;High School;1;4;42;3;2;3;4162;15211;1;12;3;3;80;2;5;3;5;4;0;3
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-1296;1296;Female;Sales Executive;Single;Yes;Y;3;36;1;1174;3;Master's Degree;1;1;99;3;2;2;9278;20763;3;16;3;4;80;0;15;3;5;4;0;1
No;Non-Travel;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1297;1297;Male;Healthcare Representative;Divorced;Yes;Y;2;40;1;1142;8;Associates Degree;1;4;72;3;2;4;4069;8841;3;18;3;3;80;0;8;3;2;2;2;2
No;Non-Travel;25 - 34;Current Employees;R&D;Medical;STAFF-1298;1298;Male;Research Scientist;Divorced;Yes;Y;3;31;1;976;3;Associates Degree;1;3;48;3;1;1;3065;3995;1;13;3;4;80;1;4;4;4;2;2;3
No;Non-Travel;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1299;1299;Male;Laboratory Technician;Married;Yes;Y;2;39;1;792;1;Bachelor's Degree;1;4;77;3;2;4;6472;8989;1;15;3;4;80;1;9;3;9;8;5;8
No;Non-Travel;25 - 34;Current Employees;Sales;Life Sciences;STAFF-1300;1300;Male;Sales Executive;Divorced;Yes;Y;3;34;1;1375;10;Bachelor's Degree;1;4;87;3;2;3;4001;12313;1;14;3;3;80;1;15;3;15;14;0;7
No;Travel_Frequently;35 - 44;Current Employees;HR;Human Resources;STAFF-1301;1301;Male;Human Resources;Married;Yes;Y;3;44;1;602;1;Doctoral Degree;1;1;37;3;2;4;5743;10503;4;11;3;3;80;0;14;3;10;7;0;2
No;Travel_Frequently;35 - 44;Current Employees;HR;Other;STAFF-1302;1302;Male;Human Resources;Married;Yes;Y;2;38;1;1444;1;Master's Degree;1;4;88;3;1;2;2991;5224;0;11;3;2;80;1;7;3;6;2;1;2
No;Travel_Frequently;Over 55;Current Employees;R&D;Life Sciences;STAFF-1303;1303;Male;Research Director;Married;Yes;Y;3;58;1;1216;15;Master's Degree;1;1;87;3;4;3;15787;21624;2;14;3;2;80;0;23;3;2;2;2;2
No;Travel_Frequently;25 - 34;Current Employees;R&D;Other;STAFF-1304;1304;Male;Research Scientist;Married;Yes;Y;3;34;1;735;22;Master's Degree;1;3;86;2;2;4;5747;26496;1;15;3;2;80;0;16;3;15;10;6;11
No;Travel_Frequently;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1305;1305;Male;Laboratory Technician;Married;Yes;Y;3;36;1;1302;6;Master's Degree;1;1;80;4;2;1;5562;19711;3;13;3;4;80;1;9;3;3;2;0;2
No;Travel_Frequently;45 - 54;Current Employees;R&D;Medical;STAFF-1306;1306;Male;Healthcare Representative;Married;Yes;Y;3;50;1;1234;20;Doctoral Degree;1;2;41;3;4;3;11245;20689;2;15;3;3;80;1;32;3;30;8;12;13
No;Travel_Frequently;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1307;1307;Male;Healthcare Representative;Married;Yes;Y;3;42;1;288;2;Bachelor's Degree;1;4;40;3;3;4;10124;18611;2;14;3;3;80;1;24;1;20;8;13;9
No;Travel_Frequently;35 - 44;Current Employees;R&D;Life Sciences;STAFF-1308;1308;Male;Healthcare Representative;Married;Yes;Y;2;35;1;1199;18;Master's Degree;1;3;80;3;2;3;5689;24594;1;14;3;4;80;2;10;4;10;2;0;2
No;Travel_Frequently;35 - 44;Current Employees;R&D;Medical;STAFF-1309;1309;Male;Research Scientist;Single;Yes;Y;2;35;1;146;2;Master's Degree;1;1;79;2;1;4;4930;13970;0;14;3;3;80;0;6;4;5;4;1;4
No;Travel_Frequently;35 - 44;Current Employees;R&D;Medical;STAFF-1310;1310;Male;Manufacturing Director;Single;Yes;Y;2;44;1;1193;2;High School;1;2;86;3;3;3;10209;19719;5;18;3;2;80;0;16;2;2;2;2;2
No;Travel_Frequently;45 - 54;Current Employees;R&D;Medical;STAFF-1311;1311;Male;Research Director;Single;Yes;Y;2;50;1;333;22;Doctoral Degree;1;3;88;1;4;4;14411;24450;1;13;3;4;80;0;32;3;32;6;13;9
No;Travel_Frequently;25 - 34;Current Employees;R&D;Life Sciences;STAFF-1312;1312;Male;Healthcare Representative;Single;Yes;Y;5;29;1;461;1;Bachelor's Degree;1;4;70;4;2;3;6294;23060;8;12;3;4;80;0;10;4;3;2;0;2
No;Travel_Frequently;25 - 34;Current Employees;Sales;Life Sciences;STAFF-1313;1313;Male;Sales Executive;Married;Yes;Y;2;28;1;783;1;Associates Degree;1;3;42;2;2;4;6834;19255;1;12;3;3;80;1;7;3;7;7;0;7
